mlevel_code,mlevel_desc
7001,ระดับ 1 ราชบุรี
7002,ระดับ 2 ราชบุรี
7003,ระดับ 3 ราชบุรี
7101,ระดับ 1 กาญจนบุรี
7102,ระดับ 2 กาญจนบุรี
7103,ระดับ 3 กาญจนบุรี
7201,ระดับ 1 สุพรรณบุรี
7202,ระดับ 2 สุพรรณบุรี
7203,ระดับ 3 สุพรรณบุรี
7301,ระดับ 1 นครปฐม
7302,ระดับ 2 นครปฐม
7303,ระดับ 3 นครปฐม
7401,ระดับ 1 สมุทรสาคร
7402,ระดับ 2 สมุทรสาคร
7403,ระดับ 3 สมุทรสาคร
7501,ระดับ 1 สมุทรสงคราม
7502,ระดับ 2 สมุทรสงคราม
7503,ระดับ 3 สมุทรสงคราม
7601,ระดับ 1 เพชรบุรี
7602,ระดับ 2 เพชรบุรี
7603,ระดับ 3 เพชรบุรี
7701,ระดับ 1 ประจวบคีรีขันธ์
7702,ระดับ 2 ประจวบคีรีขันธ์
7703,ระดับ 3 ประจวบคีรีขันธ์
8001,ระดับ 1 นครศรีธรรมราช
8002,ระดับ 2 นครศรีธรรมราช
8003,ระดับ 3 นครศรีธรรมราช
8101,ระดับ 1 กระบี่
8102,ระดับ 2 กระบี่
8103,ระดับ 3 กระบี่
8201,ระดับ 1 พังงา
8202,ระดับ 2 พังงา
8203,ระดับ 3 พังงา
8301,ระดับ 1 ภูเก็ต
8302,ระดับ 2 ภูเก็ต
8303,ระดับ 3 ภูเก็ต
8401,ระดับ 1 สุราษฎร์ธานี
8402,ระดับ 2 สุราษฎร์ธานี
8403,ระดับ 3 สุราษฎร์ธานี
8501,ระดับ 1 ระนอง
8502,ระดับ 2 ระนอง
8503,ระดับ 3 ระนอง
8601,ระดับ 1 ชุมพร
8602,ระดับ 2 ชุมพร
8603,ระดับ 3 ชุมพร
9001,ระดับ 1 สงขลา
9002,ระดับ 2 สงขลา
9003,ระดับ 3 สงขลา
9101,ระดับ 1 สตูล
9102,ระดับ 2 สตูล
9103,ระดับ 3 สตูล
9201,ระดับ 1 ตรัง
9202,ระดับ 2 ตรัง
9203,ระดับ 3 ตรัง
9301,ระดับ 1 พัทลุง
9302,ระดับ 2 พัทลุง
9303,ระดับ 3 พัทลุง
9401,ระดับ 1 ปัตตานี
9402,ระดับ 2 ปัตตานี
9403,ระดับ 3 ปัตตานี
9501,ระดับ 1 ยะลา
9502,ระดับ 2 ยะลา
9503,ระดับ 3 ยะลา
9601,ระดับ 1 นราธิวาส
9602,ระดับ 2 นราธิวาส
9603,ระดับ 3 นราธิวาส
9701,ระดับ 1 บึงกาฬ
9702,ระดับ 2 บึงกาฬ
9703,ระดับ 3 บึงกาฬ
